,level_0,level_1,pred
304,12,16,0.4168298542499542
305,12,17,0.9758762121200562
306,12,18,0.7478328943252563
307,12,19,-0.15138781070709229
308,12,20,-0.7032381296157837
309,12,21,-0.7720656394958496
310,12,22,-0.35425204038619995
311,12,23,-0.1918407678604126
312,13,0,-0.1429172158241272
313,13,1,0.1590304970741272
314,13,2,0.2263161540031433
315,13,3,0.08093154430389404
316,13,4,0.30256813764572144
317,13,5,0.16541773080825806
318,13,6,-0.7159373760223389
319,13,7,-1.520275592803955
320,13,8,-2.3724095821380615
321,13,9,-1.0907396078109741
322,13,10,-0.6925078630447388
323,13,11,-0.4260680079460144
324,13,12,-0.0531538724899292
325,13,13,-0.3576086163520813
326,13,14,-1.081730604171753
327,13,15,-1.5463926792144775
328,13,16,-2.3210887908935547
329,13,17,-2.9931883811950684
330,13,18,-3.149247169494629
331,13,19,-2.8078598976135254
332,13,20,-2.768629789352417
333,13,21,-2.734337568283081
334,13,22,-3.257086753845215
335,13,23,-2.0987794399261475
336,14,0,-3.8446946144104004
337,14,1,-3.658780097961426
338,14,2,-3.505464553833008
339,14,3,-2.85243558883667
340,14,4,-2.181438446044922
341,14,5,-1.3954726457595825
342,14,6,-0.8506832122802734
343,14,7,0.00521087646484375
344,14,8,0.04793950915336609
345,14,9,1.5855350494384766
346,14,10,2.5090558528900146
347,14,11,2.6705269813537598
348,14,12,1.5310577154159546
349,14,13,0.49646303057670593
350,14,14,3.7322707176208496
351,14,15,3.7244796752929688
352,14,16,3.9793179035186768
353,14,17,3.963864326477051
354,14,18,4.406462669372559
355,14,19,4.672866344451904
356,14,20,4.386865615844727
357,14,21,3.7981886863708496
358,14,22,2.356982946395874
359,14,23,2.950960159301758
360,15,0,2.467857837677002
361,15,1,3.728975296020508
362,15,2,4.272616863250732
363,15,3,2.7374320030212402
364,15,4,2.291123867034912
365,15,5,2.563974618911743
366,15,6,2.4552536010742188
367,15,7,2.7670936584472656
368,15,8,2.4510927200317383
369,15,9,2.3989062309265137
